Country,Short_Country,Date,Short_Product,Product,Type,SOH,AMI,MOS,Note
Botswana,BWA,2018-07-31,EFV 600 MG 30 TABS,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,232639.0,27623.0,8.4,
Botswana,BWA,2018-07-31,EFV/FTC/TDF 600/200/300 MG 30 TABS,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,335835.0,95237.0,3.5,
Botswana,BWA,2018-07-31,NVP 200 MG 60 TABS,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,355850.0,50629.0,7.0,
Botswana,BWA,2018-09-30,DTG/3TC/TDF 50/300/300 MG 30 TABS,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,350000.0,0.0,,
Botswana,BWA,2018-09-30,EFV 600 MG 30 TABS,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,208777.0,27623.0,7.6,
Botswana,BWA,2018-09-30,EFV/FTC/TDF 600/200/300 MG 30 TABS,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,471850.0,95237.0,5.0,
Botswana,BWA,2018-09-30,NVP 200 MG 60 TABS,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,379899.0,50629.0,7.5,
Botswana,BWA,2018-10-31,DTG/3TC/TDF 50/300/300 MG 30 TABS,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,244325.0,73771.73333333334,3.3,
Botswana,BWA,2018-10-31,EFV 600 MG 30 TABS,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,182732.0,37604.66666666666,4.9,
Botswana,BWA,2018-10-31,EFV/FTC/TDF 600/200/300 MG 30 TABS,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,406527.0,95237.0,4.3,
Botswana,BWA,2018-10-31,NVP 200 MG 60 TABS,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,435633.0,52879.3,8.2,
Botswana,BWA,2018-11-30,DTG/3TC/TDF 50/300/300 MG 30 TABS,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,197467.0,73771.73333333334,2.7,
Botswana,BWA,2018-11-30,EFV 600 MG 30 TABS,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,157544.0,37604.66666666666,4.2,
Botswana,BWA,2018-11-30,EFV/FTC/TDF 600/200/300 MG 30 TABS,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,422398.0,95237.0,4.4,
Botswana,BWA,2018-11-30,NVP 200 MG 60 TABS,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,394748.0,52879.3,7.5,
Botswana,BWA,2018-12-31,DTG/3TC/TDF 50/300/300 MG 30 TABS,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,336358.0,73771.73333333334,4.6,
Botswana,BWA,2018-12-31,EFV 600 MG 30 TABS,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,123129.0,37604.66666666666,3.3,
Botswana,BWA,2018-12-31,EFV/FTC/TDF 600/200/300 MG 30 TABS,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,435505.0,95237.0,4.6,
Botswana,BWA,2018-12-31,NVP 200 MG 60 TABS,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,347323.0,52879.3,6.6,
Botswana,BWA,2019-01-31,DTG/3TC/TDF 50/300/300 MG 30 TABS,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,274397.0,73771.73333333334,3.7,
Botswana,BWA,2019-01-31,EFV 600 MG 30 TABS,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,94351.0,37604.66666666666,2.5,
Botswana,BWA,2019-01-31,EFV/FTC/TDF 600/200/300 MG 30 TABS,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,388841.0,95237.0,4.1,
Botswana,BWA,2019-01-31,NVP 200 MG 60 TABS,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,298538.0,52879.3,5.6,
Botswana,BWA,2019-02-28,DTG/3TC/TDF 50/300/300 MG 30 TABS,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,592042.0,48363.0,12.2,
Botswana,BWA,2019-02-28,EFV 600 MG 30 TABS,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,72443.0,37604.66666666666,1.9,
Botswana,BWA,2019-02-28,EFV/FTC/TDF 600/200/300 MG 30 TABS,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,306932.0,95237.0,3.2,
Botswana,BWA,2019-02-28,NVP 200 MG 60 TABS,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,255523.0,52879.3,4.8,
Botswana,BWA,2019-03-31,DTG/3TC/TDF 50/300/300 MG 30 TABS,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,558526.0,48363.0,11.5,
Botswana,BWA,2019-03-31,EFV 600 MG 30 TABS,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,55489.0,37604.0,1.5,
Botswana,BWA,2019-03-31,EFV/FTC/TDF 600/200/300 MG 30 TABS,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,245109.0,95237.0,2.6,
Botswana,BWA,2019-03-31,NVP 200 MG 60 TABS,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,236528.0,52879.3,4.5,
Botswana,BWA,2019-04-30,ABC 300 MG 60 TABS,"Abacavir 300 mg, Tablet, 60 Tabs",Adult ARV,6.0,11449.66666666667,0.0,"33,246 arrived in March, but most of it (27,983) were issued to facilities. An additional 16,623 was delivered at end of May."
Botswana,BWA,2019-04-30,ABC 20MG/ML SUSP NO SYR 240 ML,"Abacavir 20 mg/mL Suspension, 240 mL bottle",Pediatric ARV,952.0,614.6666666666666,1.5,"A shipment of 650 was expected in May, but hasn't arrived at the time of reporting. "
Botswana,BWA,2019-04-30,ATV/R 300/100 MG 30 TABS,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",Adult ARV,0.0,123.0,0,"196 was delivered in May, more are expected in June."
Botswana,BWA,2019-04-30,DTG 50 MG 30 TABS,"Dolutegravir 50 mg Tablet, 30 Tabs",Adult ARV,145846.0,19098.66666666667,7.6,
Botswana,BWA,2019-04-30,DTG/3TC/TDF 50/300/300 MG 30 TABS,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,426402.0,67617.33333333333,6.3,
Botswana,BWA,2019-04-30,EFV 200 MG 90 CAPS,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,6644.0,547.0,12.1,
Botswana,BWA,2019-04-30,EFV 50 MG 30 CAPS,"Efavirenz 50 mg Capsule, 30 Caps",Pediatric ARV,0.0,521.3333333333334,0,"The two orders planned for May have not arrived at the time of reporting (12,500 and 8,304). The alternative product is EFV200, with 12 MOS. DTG50 can also be given to >20kg patients. "
Botswana,BWA,2019-04-30,EFV 600 MG 30 TABS,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,21178.0,29269.0,0.7,"41,434 was delivered in May, the remainder of the 140,000 order is expected in June"
Botswana,BWA,2019-04-30,EFV/FTC/TDF 600/200/300 MG 30 TABS,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,195127.0,111981.3333333333,1.7,"An order of 428,711 is expected in June."
Botswana,BWA,2019-04-30,FTC/TDF 200/300 MG 30 TABS,"Emtricitabine/Tenofovir DF 200/300 mg Tablet, 30 Tabs",Adult ARV,102682.0,18774.66666666667,5.5,"Many patients will shift-off this product to TLD and the consumption will be reduced. However, it will not be phased out completely. A small number of patients who are on alternate 2nd line and 3rd line will still need this product ."
Botswana,BWA,2019-04-30,DETERMINE RTK 100 TESTS,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",RTK,4312.0,691.6666666666666,6.2,
Botswana,BWA,2019-04-30,UNI-GOLD RTK 20 TESTS,"HIV-1/2 Uni-Gold Rapid Test Kit, 20 Tests",RTK,1471.0,1364.666666666667,1.1,The next shipment is by end of July 2019 and the quantity is 1000. Funding source is MOH.
Botswana,BWA,2019-04-30,3TC 150 MG 60 TABS,"Lamivudine 150 mg Tablet, 60 Tabs",Pediatric ARV,39095.0,10232.66666666667,3.8,"An order of 16,059 is expected in June."
Botswana,BWA,2019-04-30,3TC 10 MG/ML SOLN W/ SYR 240 ML,"Lamivudine 10 mg/mL Solution w/ Syringe, 240 mL",Pediatric ARV,7562.0,942.6666666666666,8.0,
Botswana,BWA,2019-04-30,3TC/AZT 150/300 MG 60 TABS,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",Adult ARV,193436.0,66573.33333333333,2.9,
Botswana,BWA,2019-04-30,3TC/AZT 30/60 MG DISPERSIBLE 60 TABS,"Lamivudine/Zidovudine 30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,24.0,1799.0,0.0,300 packs were delivered in May. This product is going to be obselete very soon due to new pediatric optimization starting in July 2019. Consumption rate will be significantly reduced.
Botswana,BWA,2019-04-30,LPV/R 100/25 MG 60 TABS,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,1652.0,175.0,9.4,"An order of 7,000 is expected in June."
