Country,Short_Country,Date,Short_Product,Product,Type,SOH,AMI,MOS,Note
Botswana,BWA,2019-04-30,ABC 20MG/ML SUSP NO SYR 240 ML,"Abacavir 20 mg/mL Suspension, 240 mL bottle",Pediatric ARV,952.0,614.6666666666666,1.5,"A shipment of 650 was expected in May, but hasn't arrived at the time of reporting. "
Botswana,BWA,2019-04-30,EFV 200 MG 90 CAPS,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,6644.0,547.0,12.1,
Botswana,BWA,2019-04-30,EFV 50 MG 30 CAPS,"Efavirenz 50 mg Capsule, 30 Caps",Pediatric ARV,0.0,521.3333333333334,0,"The two orders planned for May have not arrived at the time of reporting (12,500 and 8,304). The alternative product is EFV200, with 12 MOS. DTG50 can also be given to >20kg patients. "
Botswana,BWA,2019-04-30,3TC 150 MG 60 TABS,"Lamivudine 150 mg Tablet, 60 Tabs",Pediatric ARV,39095.0,10232.66666666667,3.8,"An order of 16,059 is expected in June."
Botswana,BWA,2019-04-30,3TC 10 MG/ML SOLN W/ SYR 240 ML,"Lamivudine 10 mg/mL Solution w/ Syringe, 240 mL",Pediatric ARV,7562.0,942.6666666666666,8.0,
Botswana,BWA,2019-04-30,3TC/AZT 30/60 MG DISPERSIBLE 60 TABS,"Lamivudine/Zidovudine 30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,24.0,1799.0,0.0,300 packs were delivered in May. This product is going to be obselete very soon due to new pediatric optimization starting in July 2019. Consumption rate will be significantly reduced.
Botswana,BWA,2019-04-30,LPV/R 100/25 MG 60 TABS,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,1652.0,175.0,9.4,"An order of 7,000 is expected in June."
Botswana,BWA,2019-04-30,LPV/R 80/20 MG/ML OS 5 X 60 ML,"Lopinavir/ritonavir 80/20 mg/mL Solution, 60 mL bottle",Pediatric ARV,5692.0,773.6666666666666,7.4,
Botswana,BWA,2019-04-30,NVP 10MG/ML SUSP 240 ML,"Nevirapine  10 mg/mL, Suspension, 240 mL bottle",Pediatric ARV,4567.0,155.0,29.5,
Botswana,BWA,2019-04-30,NVP/3TC/AZT 50/30/60 MG DISPERSIBLE 60 TABS,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,16515.0,78.33333333333333,210.8,
Botswana,BWA,2019-04-30,AZT 10 MG/ML SOLN W/ SYR 240 ML,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",Pediatric ARV,2712.0,506.3333333333333,5.4,
Botswana,BWA,2019-04-30,AZT 100 MG 100 CAPS,"Zidovudine 100 mg Capsule, 100 Caps",Pediatric ARV,11328.0,156.0,72.6,
Burundi,BDI,2018-05-31,ABC/3TC 60/30 MG 60 TABS,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,629.0,836.0,0.8,
Burundi,BDI,2018-05-31,EFV 200 MG 90 CAPS,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,2028.0,552.0,3.7,
Burundi,BDI,2018-05-31,3TC/AZT 30/60 MG 60 TABS,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,2611.0,504.0,5.2,
Burundi,BDI,2018-05-31,LPV/R 40/10 MG PELLETS IN CAPS 120,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,861.0,8.0,107.6,
Burundi,BDI,2018-05-31,NVP/3TC/AZT 50/30/60 MG DISPERSIBLE 60 TABS,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,7058.0,1388.0,5.1,
Burundi,BDI,2018-05-31,RTV 100 MG 30 TABS,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,839.0,25.0,33.6,
Burundi,BDI,2018-06-30,ABC/3TC 60/30 MG 60 TABS,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,11030.0,836.0,13.2,
Burundi,BDI,2018-06-30,EFV 200 MG 90 CAPS,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,1369.0,552.0,2.5,
Burundi,BDI,2018-06-30,3TC/AZT 30/60 MG 60 TABS,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,1955.0,504.0,3.9,
Burundi,BDI,2018-06-30,LPV/R 40/10 MG PELLETS IN CAPS 120,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,803.0,8.0,100.4,
Burundi,BDI,2018-06-30,NVP/3TC/AZT 50/30/60 MG DISPERSIBLE 60 TABS,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,11689.0,1388.0,8.4,
Burundi,BDI,2018-06-30,RTV 100 MG 30 TABS,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,830.0,25.0,33.2,
Burundi,BDI,2018-07-31,ABC/3TC 60/30 MG 60 TABS,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,10630.0,930.0,11.4,
Burundi,BDI,2018-07-31,EFV 200 MG 90 CAPS,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,713.0,426.0,1.7,
Burundi,BDI,2018-07-31,3TC/AZT 30/60 MG 60 TABS,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,1786.0,456.0,3.9,
Burundi,BDI,2018-07-31,LPV/R 100/25 MG 60 TABS,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,3137.0,390.0,8.0,
Burundi,BDI,2018-07-31,LPV/R 40/10 MG PELLETS IN CAPS 120,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,786.0,25.0,31.4,
Burundi,BDI,2018-07-31,NVP/3TC/AZT 50/30/60 MG DISPERSIBLE 60 TABS,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,10311.0,1388.0,7.4,
Burundi,BDI,2018-07-31,RTV 100 MG 30 TABS,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,805.0,31.0,26.0,
Burundi,BDI,2018-08-31,ABC/3TC 60/30 MG 60 TABS,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,9267.0,985.0,9.4,
Burundi,BDI,2018-08-31,EFV 200 MG 90 CAPS,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,289.0,575.3333333333334,0.5,
Burundi,BDI,2018-08-31,3TC/AZT 30/60 MG 60 TABS,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,1508.0,344.3333333333333,4.4,
Burundi,BDI,2018-08-31,LPV/R 100/25 MG 60 TABS,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,2581.0,496.3333333333333,5.2,
Burundi,BDI,2018-08-31,LPV/R 40/10 MG PELLETS IN CAPS 120,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,752.0,33.0,22.8,
Burundi,BDI,2018-08-31,NVP 10MG/ML SUSP W/ SYRNG 100 ML,"Nevirapine 10 mg/mL Suspension w/ Syringe, 100 mL bottle",Pediatric ARV,3618.0,734.3333333333334,4.9,
Burundi,BDI,2018-08-31,NVP/3TC/AZT 50/30/60 MG DISPERSIBLE 60 TABS,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,8528.0,1471.0,5.8,
Burundi,BDI,2018-08-31,RTV 100 MG 30 TABS,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,787.0,15.33333333333333,51.3,
Burundi,BDI,2018-09-30,ABC/3TC 60/30 MG 60 TABS,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,8371.0,930.0,9.0,
Burundi,BDI,2018-09-30,EFV 200 MG 90 CAPS,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,5000.0,457.0,10.9,
Burundi,BDI,2018-09-30,3TC/AZT 30/60 MG 60 TABS,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,1345.0,393.0,3.4,
Burundi,BDI,2018-09-30,LPV/R 100/25 MG 60 TABS,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,4050.0,550.0,7.4,
Burundi,BDI,2018-09-30,LPV/R 40/10 MG PELLETS IN CAPS 120,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,725.0,30.0,24.2,
Burundi,BDI,2018-09-30,NVP 10MG/ML SUSP W/ SYRNG 100 ML,"Nevirapine 10 mg/mL Suspension w/ Syringe, 100 mL bottle",Pediatric ARV,2879.0,779.0,3.7,
Burundi,BDI,2018-09-30,NVP/3TC/AZT 50/30/60 MG DISPERSIBLE 60 TABS,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,6773.0,1452.0,4.7,
Burundi,BDI,2018-09-30,RTV 100 MG 30 TABS,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,784.0,16.0,49.0,
Burundi,BDI,2018-09-30,AZT 10 MG/ML SOLN W/ SYR 240 ML,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",Pediatric ARV,762.0,881.0,0.9,
Burundi,BDI,2018-10-31,ABC/3TC 60/30 MG 60 TABS,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,6739.0,1124.0,6.0,
Burundi,BDI,2018-10-31,EFV 200 MG 90 CAPS,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,5000.0,552.0,9.1,
Burundi,BDI,2018-10-31,3TC/AZT 30/60 MG 60 TABS,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,1157.0,393.0,2.9,
Burundi,BDI,2018-10-31,LPV/R 100/25 MG 60 TABS,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,3412.0,537.0,6.4,
Burundi,BDI,2018-10-31,LPV/R 40/10 MG PELLETS IN CAPS 120,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,630.0,40.0,15.8,
Burundi,BDI,2018-10-31,NVP 10MG/ML SUSP W/ SYRNG 100 ML,"Nevirapine 10 mg/mL Suspension w/ Syringe, 100 mL bottle",Pediatric ARV,2879.0,800.0,3.6,
Burundi,BDI,2018-10-31,NVP/3TC/AZT 50/30/60 MG DISPERSIBLE 60 TABS,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,5451.0,1516.0,3.6,
Burundi,BDI,2018-10-31,RTV 100 MG 30 TABS,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,774.0,18.0,43.0,
Burundi,BDI,2018-10-31,AZT 10 MG/ML SOLN W/ SYR 240 ML,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",Pediatric ARV,0.0,885.0,0,
Burundi,BDI,2018-11-30,ABC/3TC 60/30 MG 60 TABS,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,5791.0,827.0,7.0,
Burundi,BDI,2018-11-30,EFV 200 MG 90 CAPS,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,8119.0,552.0,14.7,
Burundi,BDI,2018-11-30,3TC/AZT 30/60 MG 60 TABS,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,757.0,393.0,1.9,
Burundi,BDI,2018-11-30,LPV/R 100/25 MG 60 TABS,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,3198.0,537.0,6.0,
Burundi,BDI,2018-11-30,LPV/R 40/10 MG PELLETS IN CAPS 120,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,604.0,40.0,15.1,
Burundi,BDI,2018-11-30,NVP 10MG/ML SUSP W/ SYRNG 100 ML,"Nevirapine 10 mg/mL Suspension w/ Syringe, 100 mL bottle",Pediatric ARV,1680.0,800.0,2.1,
Burundi,BDI,2018-11-30,NVP/3TC/AZT 50/30/60 MG DISPERSIBLE 60 TABS,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,7307.0,1452.0,5.0,
Burundi,BDI,2018-11-30,RTV 100 MG 30 TABS,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,666.0,18.0,37.0,
Burundi,BDI,2018-11-30,AZT 10 MG/ML SOLN W/ SYR 240 ML,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",Pediatric ARV,0.0,0.0,0,
Burundi,BDI,2018-12-31,ABC/3TC 60/30 MG 60 TABS,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,4844.0,836.0,5.8,
Burundi,BDI,2018-12-31,EFV 200 MG 90 CAPS,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,5839.0,552.0,10.6,
Burundi,BDI,2018-12-31,3TC/AZT 30/60 MG 60 TABS,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,2337.0,393.0,5.9,
Burundi,BDI,2018-12-31,LPV/R 100/25 MG 60 TABS,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,2953.0,537.0,5.5,
Burundi,BDI,2018-12-31,LPV/R 40/10 MG PELLETS IN CAPS 120,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,587.0,40.0,14.7,
Burundi,BDI,2018-12-31,NVP 10MG/ML SUSP W/ SYRNG 100 ML,"Nevirapine 10 mg/mL Suspension w/ Syringe, 100 mL bottle",Pediatric ARV,1811.0,800.0,2.3,
Burundi,BDI,2018-12-31,NVP/3TC/AZT 50/30/60 MG DISPERSIBLE 60 TABS,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,6646.0,1452.0,4.6,
Burundi,BDI,2018-12-31,RTV 100 MG 30 TABS,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,640.0,18.0,35.6,
Burundi,BDI,2018-12-31,AZT 10 MG/ML SOLN W/ SYR 240 ML,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",Pediatric ARV,20123.0,885.0,22.7,
Burundi,BDI,2019-01-31,ABC/3TC 60/30 MG 60 TABS,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,5366.0,1050.0,5.1,
Burundi,BDI,2019-01-31,EFV 200 MG 90 CAPS,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,5469.0,493.0,11.1,
Burundi,BDI,2019-01-31,3TC/AZT 30/60 MG 60 TABS,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,2132.0,393.0,5.4,
Burundi,BDI,2019-01-31,LPV/R 100/25 MG 60 TABS,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,3734.0,390.0,9.6,
Burundi,BDI,2019-01-31,LPV/R 40/10 MG PELLETS IN CAPS 120,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,574.0,84.0,6.8,
Burundi,BDI,2019-01-31,NVP 10MG/ML SUSP W/ SYRNG 100 ML,"Nevirapine 10 mg/mL Suspension w/ Syringe, 100 mL bottle",Pediatric ARV,2881.0,891.0,3.2,
Burundi,BDI,2019-01-31,NVP/3TC/AZT 50/30/60 MG DISPERSIBLE 60 TABS,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,12120.0,1200.0,10.1,
Burundi,BDI,2019-01-31,RTV 100 MG 30 TABS,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,624.0,18.0,34.7,
Burundi,BDI,2019-01-31,AZT 10 MG/ML SOLN W/ SYR 240 ML,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",Pediatric ARV,18426.0,1688.0,10.9,
Burundi,BDI,2019-02-28,ABC/3TC 60/30 MG 60 TABS,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,4329.0,1061.0,4.1,
Burundi,BDI,2019-02-28,EFV 200 MG 90 CAPS,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,5144.0,403.0,12.8,
Burundi,BDI,2019-02-28,3TC/AZT 30/60 MG 60 TABS,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,1847.0,393.0,4.7,
Burundi,BDI,2019-02-28,LPV/R 100/25 MG 60 TABS,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,3028.0,592.0,5.1,
Burundi,BDI,2019-02-28,LPV/R 40/10 MG PELLETS IN CAPS 120,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,527.0,40.0,13.2,
Burundi,BDI,2019-02-28,NVP 10MG/ML SUSP W/ SYRNG 100 ML,"Nevirapine 10 mg/mL Suspension w/ Syringe, 100 mL bottle",Pediatric ARV,2878.0,891.0,3.2,
Burundi,BDI,2019-02-28,NVP/3TC/AZT 50/30/60 MG DISPERSIBLE 60 TABS,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,10348.0,1200.0,8.6,
Burundi,BDI,2019-02-28,RTV 100 MG 30 TABS,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,594.0,18.0,33.0,
Burundi,BDI,2019-02-28,AZT 10 MG/ML SOLN W/ SYR 240 ML,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",Pediatric ARV,15913.0,1680.0,9.5,
Burundi,BDI,2019-03-31,ABC/3TC 60/30 MG 60 TABS,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,16221.0,1061.0,15.3,
Burundi,BDI,2019-03-31,EFV 200 MG 90 CAPS,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,4676.0,520.0,9.0,"Stocked according to plan. GHSC-PSM in collaboration with PNLS and GF will continue to track product consumption trend to avoid expiry risk. Next GF shipment is planned for June 2019 (Qty 5,000)."
Burundi,BDI,2019-03-31,3TC/AZT 30/60 MG 60 TABS,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,1669.0,393.0,4.2,"Understock. GHSC-PSM shipment (Qty 3,033) is expected to arrive in June 2019."
Burundi,BDI,2019-03-31,LPV/R 100/25 MG 60 TABS,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,2569.0,730.0,3.5,"Understock without any risk of stock out. UNDP/GF shipment (Qty 15,457) is expected in April 2019. This quantity will be divided in 2 shipments."
Burundi,BDI,2019-03-31,LPV/R 40/10 MG PELLETS IN CAPS 120,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,527.0,40.0,13.2,"Overstock. Expiry date: 06/2019 and 48 boxes expiry in September 2020. GF shipment (Qty 1,733) is expected to arrive before the end of April 2019 to avoid service interruption after current stock expiration."
Burundi,BDI,2019-03-31,NVP 10MG/ML SUSP W/ SYRNG 100 ML,"Nevirapine 10 mg/mL Suspension w/ Syringe, 100 mL bottle",Pediatric ARV,2878.0,891.0,3.2,"Understock. GHSC-PSM shipment (Qty 4,020) and UNDP shipment (Qty 5,824) are both expected in June 2019."
