Country,Date,Product,SOH,AMI,MOSact
Botswana,7/26/2018,"Efavirenz 600 mg Tablet, 30 Tabs",232639,27623,8.42
Botswana,7/26/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",335835,95237,3.53
Botswana,7/26/2018,"Nevirapine 200 mg Tablet, 60 Tabs",355850,50629,7.03
Botswana,12/19/2018,"Efavirenz 600 mg Tablet, 30 Tabs",123129,37604.66667,3.27
Botswana,12/19/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",435505,95237,4.57
Botswana,12/19/2018,"Nevirapine 200 mg Tablet, 60 Tabs",347323,52879.3,6.57
Botswana,12/19/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",336358,73771.73333,4.56
Botswana,1/24/2019,"Efavirenz 600 mg Tablet, 30 Tabs",94351,37604.66667,2.51
Botswana,1/24/2019,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",388841,95237,4.08
Botswana,1/24/2019,"Nevirapine 200 mg Tablet, 60 Tabs",298538,52879.3,5.65
Botswana,1/24/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",274397,73771.73333,3.72
Botswana,2/20/2019,"Efavirenz 600 mg Tablet, 30 Tabs",72443,37604.66667,1.93
Botswana,2/20/2019,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",306932,95237,3.22
Botswana,2/20/2019,"Nevirapine 200 mg Tablet, 60 Tabs",255523,52879.3,4.83
Botswana,2/20/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",592042,48363,12.24
Botswana,3/28/2019,"Efavirenz 600 mg Tablet, 30 Tabs",55489,37604,1.48
Botswana,3/28/2019,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",245109,95237,2.57
Botswana,3/28/2019,"Nevirapine 200 mg Tablet, 60 Tabs",236528,52879.3,4.47
Botswana,3/28/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",558526,48363,11.55
Cote d'Ivoire,7/31/2018,"Abacavir 300 mg, Tablet, 60 Tabs",0,179,0
