Country,Date,Product,SOH,AMI,MOSact,MOSproj
Botswana,3/31/2018,"Efavirenz 600 mg Tablet, 30 Tablets",333494,27623,12.07,
Botswana,3/31/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",389829,95237,4.09,
Botswana,3/31/2018,"Nevirapine 200 mg Tablet, 60 Tablets",300266,50629.33333,5.93,
Botswana,7/26/2018,"Efavirenz 600 mg Tablet, 30 Tablets",232639,27623,8.42,
Botswana,7/26/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",335835,95237,3.53,
Botswana,7/26/2018,"Nevirapine 200 mg Tablet, 60 Tablets",355850,50629,7.03,
Botswana,9/27/2018,"Efavirenz 600 mg Tablet, 30 Tablets",208777,27623,7.56,
Botswana,9/27/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",471850,95237,4.95,
Botswana,9/27/2018,"Nevirapine 200 mg Tablet, 60 Tablets",379899,50629,7.5,
Botswana,9/27/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",350000,0,,
Botswana,10/29/2018,"Efavirenz 600 mg Tablet, 30 Tablets",182732,37604.66667,4.86,
Botswana,10/29/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",406527,95237,4.27,
Botswana,10/29/2018,"Nevirapine 200 mg Tablet, 60 Tablets",435633,52879.3,8.24,
Botswana,10/29/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",244325,73771.73333,3.31,
Botswana,11/20/2018,"Efavirenz 600 mg Tablet, 30 Tablets",157544,37604.66667,4.19,
Botswana,11/20/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",422398,95237,4.44,
Botswana,11/20/2018,"Nevirapine 200 mg Tablet, 60 Tablets",394748,52879.3,7.47,
Botswana,11/20/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",197467,73771.73333,2.68,
Botswana,12/19/2018,"Efavirenz 600 mg Tablet, 30 Tablets",123129,37604.66667,3.27,3.27
Botswana,12/19/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",435505,95237,4.57,4.57
Botswana,12/19/2018,"Nevirapine 200 mg Tablet, 60 Tablets",347323,52879.3,6.57,6.57
Botswana,12/19/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",336358,73771.73333,4.56,4.56
Botswana,1/24/2019,"Efavirenz 600 mg Tablet, 30 Tablets",94351,37604.66667,,2.51
Botswana,1/24/2019,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",388841,95237,,4.08
Botswana,1/24/2019,"Nevirapine 200 mg Tablet, 60 Tablets",298538,52879.3,,5.65
Botswana,1/24/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",274397,73771.73333,,3.72
Botswana,2/20/2019,"Efavirenz 600 mg Tablet, 30 Tablets",72443,37604.66667,,1.93
Botswana,2/20/2019,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",306932,95237,,3.22
Botswana,2/20/2019,"Nevirapine 200 mg Tablet, 60 Tablets",255523,52879.3,,4.83
Botswana,2/20/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",592042,48363,,12.24
Botswana,3/28/2019,"Efavirenz 600 mg Tablet, 30 Tablets",55489,37604,,1.48
Botswana,3/28/2019,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",245109,95237,,2.57
Botswana,3/28/2019,"Nevirapine 200 mg Tablet, 60 Tablets",236528,52879.3,,4.47
Botswana,3/28/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",558526,48363,,11.55
Burundi,5/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",629,836,0.75,
Burundi,5/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",2611,504,5.18,
Burundi,5/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",1407,9,156.33,
Burundi,5/31/2018,"Efavirenz 200 mg Capsules, 90 Caps",2028,552,3.67,
Burundi,5/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",78930,3801,20.77,
Burundi,5/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",267568,35938,7.45,
Burundi,5/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",6586,1201,5.48,
Burundi,5/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",1180,215,5.49,
Burundi,5/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",16520,2714,6.09,
Burundi,5/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",84903,3104,27.35,
Burundi,5/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",2611,504,5.18,
Burundi,5/31/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",861,8,107.62,
Burundi,5/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",23338,3055,7.64,
Burundi,5/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",151393,10001,15.14,
Burundi,5/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",7058,1388,5.09,
Burundi,5/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",1441,19,75.84,
Burundi,5/31/2018,"Ritonavir 100 mg Tablet, 30 Tabs",839,25,33.56,
Burundi,6/30/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",11030,836,13.19,
Burundi,6/30/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",10896,1853,5.88,
Burundi,6/30/2018,"Darunavir 600 mg Tablet, 60 Tabs",1404,9,156,
Burundi,6/30/2018,"Efavirenz 200 mg Capsules, 90 Caps",1369,552,2.48,
Burundi,6/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",75746,3801,19.93,
Burundi,6/30/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",120176,35938,3.34,
Burundi,6/30/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",3515,1201,2.93,
Burundi,6/30/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",1698,215,7.9,
Burundi,6/30/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",14265,2714,5.26,
Burundi,6/30/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",81440,3104,26.24,
Burundi,6/30/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",1955,504,3.88,
Burundi,6/30/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",803,8,100.38,
Burundi,6/30/2018,"Nevirapine 200 mg Tablet, 60 Tabs",22225,3055,7.27,
Burundi,6/30/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",141990,10001,14.2,
Burundi,6/30/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",11689,1388,8.42,
Burundi,6/30/2018,"Raltegravir 400 mg Tablet, 60 Tabs",1418,19,74.63,
Burundi,6/30/2018,"Ritonavir 100 mg Tablet, 30 Tabs",830,25,33.2,
Burundi,7/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",10630,930,11.43,
Burundi,7/31/2018,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",10928,1670,6.54,
Burundi,7/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",8361,1919,4.36,
Burundi,7/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",1382,13,106.31,
Burundi,7/31/2018,"Efavirenz 200 mg Capsules, 90 Caps",713,426,1.67,
Burundi,7/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",73126,3801,19.24,
Burundi,7/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",208494,35938,5.8,
Burundi,7/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",2536,1201,2.11,
Burundi,7/31/2018,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",2000,500,4,
Burundi,7/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",1569,215,7.3,
Burundi,7/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",12057,2754,4.38,
Burundi,7/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",78717,3104,25.36,
Burundi,7/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",1786,456,3.92,
Burundi,7/31/2018,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",3137,390,8.04,
Burundi,7/31/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",786,25,31.44,
Burundi,7/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",20135,2025,9.94,
Burundi,7/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",134741,9276,14.53,
Burundi,7/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",10311,1388,7.43,
Burundi,7/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",1401,19,73.74,
Burundi,7/31/2018,"Ritonavir 100 mg Tablet, 30 Tabs",805,31,25.97,
Burundi,8/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",9267,985,9.41,
Burundi,8/31/2018,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",9028,1632.666667,5.53,
Burundi,8/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",5716,2314.333333,2.47,
Burundi,8/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",1373,11.33333333,121.15,
Burundi,8/31/2018,"Efavirenz 200 mg Capsules, 90 Caps",289,575.3333333,0.5,
Burundi,8/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",70570,2831.666667,24.92,
Burundi,8/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",199188,33862,5.88,
Burundi,8/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",1060,1611.333333,0.66,
Burundi,8/31/2018,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",1250,416.6666667,3,
Burundi,8/31/2018,"Bioline HIV/Syphilis DUO, 25 Tests",5159,778.6666667,6.63,
Burundi,8/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",1359,224.6666667,6.05,
Burundi,8/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",8745,2719,3.22,
Burundi,8/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",75788,2956,25.64,
Burundi,8/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",1508,344.3333333,4.38,
Burundi,8/31/2018,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",2581,496.3333333,5.2,
Burundi,8/31/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",752,33,22.79,
Burundi,8/31/2018,"Nevirapine 10 mg/mL Susp w/ Syringe, 100 mL",3618,734.3333333,4.93,
Burundi,8/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",17715,1796.666667,9.86,
Burundi,8/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",125432,7826,16.03,
Burundi,8/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",8528,1471,5.8,
Burundi,8/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",1393,16,87.06,
