Country,Date,Product,AMI,MOSact,MOSproj,Order
Botswana,3/31/2018,"Efavirenz 600 mg Tablet, 30 Tablets",27623,12.07,,
Botswana,3/31/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",95237,4.09,,
Botswana,3/31/2018,"Nevirapine 200 mg Tablet, 60 Tablets",50629.33333,5.93,,
Botswana,7/26/2018,"Efavirenz 600 mg Tablet, 30 Tablets",27623,8.42,,
Botswana,7/26/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",95237,3.53,,
Botswana,7/26/2018,"Nevirapine 200 mg Tablet, 60 Tablets",50629,7.03,,
Botswana,9/27/2018,"Efavirenz 600 mg Tablet, 30 Tablets",27623,7.56,,
Botswana,9/27/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",95237,4.95,,
Botswana,9/27/2018,"Nevirapine 200 mg Tablet, 60 Tablets",50629,7.5,,
Botswana,9/27/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",0,,,
Botswana,10/29/2018,"Efavirenz 600 mg Tablet, 30 Tablets",37604.66667,4.86,,
Botswana,10/29/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",95237,4.27,,
Botswana,10/29/2018,"Nevirapine 200 mg Tablet, 60 Tablets",52879.3,8.24,,
Botswana,10/29/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",73771.73333,3.31,,
Botswana,11/20/2018,"Efavirenz 600 mg Tablet, 30 Tablets",37604.66667,4.19,,
Botswana,11/20/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",95237,4.44,,
Botswana,11/20/2018,"Nevirapine 200 mg Tablet, 60 Tablets",52879.3,7.47,,
Botswana,11/20/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",73771.73333,2.68,,
Botswana,12/19/2018,"Efavirenz 600 mg Tablet, 30 Tablets",37604.66667,3.27,3.27,
Botswana,12/19/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",95237,4.57,4.57,
Botswana,12/19/2018,"Nevirapine 200 mg Tablet, 60 Tablets",52879.3,6.57,6.57,
Botswana,12/19/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",73771.73333,4.56,4.56,
Botswana,1/24/2019,"Efavirenz 600 mg Tablet, 30 Tablets",37604.66667,,2.51,
Botswana,1/24/2019,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",95237,,4.08,
Botswana,1/24/2019,"Nevirapine 200 mg Tablet, 60 Tablets",52879.3,,5.65,
Botswana,1/24/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",73771.73333,,3.72,
Botswana,2/20/2019,"Efavirenz 600 mg Tablet, 30 Tablets",37604.66667,,1.93,
Botswana,2/20/2019,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",95237,,3.22,
Botswana,2/20/2019,"Nevirapine 200 mg Tablet, 60 Tablets",52879.3,,4.83,
Botswana,2/20/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",48363,,12.24,
Botswana,3/28/2019,"Efavirenz 600 mg Tablet, 30 Tablets",37604,,1.48,
Botswana,3/28/2019,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tablets",95237,,2.57,
Botswana,3/28/2019,"Nevirapine 200 mg Tablet, 60 Tablets",52879.3,,4.47,
Botswana,3/28/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tablets",48363,,11.55,
Burundi,5/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",836,0.75,,
Burundi,5/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",504,5.18,,
Burundi,5/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",9,156.33,,
Burundi,5/31/2018,"Efavirenz 200 mg Capsules, 90 Caps",552,3.67,,
Burundi,5/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",3801,20.77,,
Burundi,5/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",35938,7.45,,
Burundi,5/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",1201,5.48,,
Burundi,5/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",215,5.49,,
Burundi,5/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",2714,6.09,,
Burundi,5/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",3104,27.35,,
Burundi,5/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",504,5.18,,
Burundi,5/31/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",8,107.62,,
Burundi,5/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",3055,7.64,,
Burundi,5/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",10001,15.14,,
Burundi,5/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",1388,5.09,,
Burundi,5/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",19,75.84,,
Burundi,5/31/2018,"Ritonavir 100 mg Tablet, 30 Tabs",25,33.56,,
Burundi,6/30/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",836,13.19,,
Burundi,6/30/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",1853,5.88,,
Burundi,6/30/2018,"Darunavir 600 mg Tablet, 60 Tabs",9,156,,
Burundi,6/30/2018,"Efavirenz 200 mg Capsules, 90 Caps",552,2.48,,
Burundi,6/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",3801,19.93,,
Burundi,6/30/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",35938,3.34,,
Burundi,6/30/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",1201,2.93,,
Burundi,6/30/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",215,7.9,,
Burundi,6/30/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",2714,5.26,,
Burundi,6/30/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",3104,26.24,,
Burundi,6/30/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",504,3.88,,
Burundi,6/30/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",8,100.38,,
Burundi,6/30/2018,"Nevirapine 200 mg Tablet, 60 Tabs",3055,7.27,,
Burundi,6/30/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",10001,14.2,,
Burundi,6/30/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",1388,8.42,,
Burundi,6/30/2018,"Raltegravir 400 mg Tablet, 60 Tabs",19,74.63,,
Burundi,6/30/2018,"Ritonavir 100 mg Tablet, 30 Tabs",25,33.2,,
Burundi,7/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",930,11.43,,
Burundi,7/31/2018,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",1670,6.54,,
Burundi,7/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",1919,4.36,,
Burundi,7/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",13,106.31,,
Burundi,7/31/2018,"Efavirenz 200 mg Capsules, 90 Caps",426,1.67,,
Burundi,7/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",3801,19.24,,
Burundi,7/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",35938,5.8,,
Burundi,7/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",1201,2.11,,
Burundi,7/31/2018,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",500,4,,
Burundi,7/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",215,7.3,,
Burundi,7/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",2754,4.38,,
Burundi,7/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",3104,25.36,,
Burundi,7/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",456,3.92,,
Burundi,7/31/2018,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",390,8.04,,
Burundi,7/31/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",25,31.44,,
Burundi,7/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",2025,9.94,,
