Country,Date,Product,Type,Funder,Order,projOrder,SOH,AMI,projAMI,MOS,projMOS,Note
Burundi,5/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,,,,629,836,,0.8,,
Burundi,5/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",Adult ARV,,,,2611,504,,5.2,,
Burundi,5/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",Adult ARV,,,,1407,9,,156.3,,
Burundi,5/31/2018,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,,,,2028,552,,3.7,,
Burundi,5/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,78930,3801,,20.8,,
Burundi,5/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,267568,35938,,7.4,,
Burundi,5/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",RTK,,,,6586,1201,,5.5,,
Burundi,5/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",RTK,,,,1180,215,,5.5,,
Burundi,5/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",Adult ARV,,,,16520,2714,,6.1,,
Burundi,5/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",Adult ARV,,,,84903,3104,,27.4,,
Burundi,5/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,,,,2611,504,,5.2,,
Burundi,5/31/2018,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,,,,861,8,,107.6,,
Burundi,5/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,23338,3055,,7.6,,
Burundi,5/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",Adult ARV,,,,151393,10001,,15.1,,
Burundi,5/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,,,,7058,1388,,5.1,,
Burundi,5/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",Adult ARV,,,,1441,19,,75.8,,
Burundi,5/31/2018,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,,,,839,25,,33.6,,
Burundi,6/30/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,,,,11030,836,,13.2,,
Burundi,6/30/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",Adult ARV,,,,10896,1853,,5.9,,
Burundi,6/30/2018,"Darunavir 600 mg Tablet, 60 Tabs",Adult ARV,,,,1404,9,,156,,
Burundi,6/30/2018,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,,,,1369,552,,2.5,,
Burundi,6/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,75746,3801,,19.9,,
Burundi,6/30/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,120176,35938,,3.3,,
Burundi,6/30/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",RTK,,,,3515,1201,,2.9,,
Burundi,6/30/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",RTK,,,,1698,215,,7.9,,
Burundi,6/30/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",Adult ARV,,,,14265,2714,,5.3,,
Burundi,6/30/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",Adult ARV,,,,81440,3104,,26.2,,
Burundi,6/30/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,,,,1955,504,,3.9,,
Burundi,6/30/2018,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,,,,803,8,,100.4,,
Burundi,6/30/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,22225,3055,,7.3,,
Burundi,6/30/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",Adult ARV,,,,141990,10001,,14.2,,
Burundi,6/30/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,,,,11689,1388,,8.4,,
Burundi,6/30/2018,"Raltegravir 400 mg Tablet, 60 Tabs",Adult ARV,,,,1418,19,,74.6,,
Burundi,6/30/2018,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,,,,830,25,,33.2,,
Burundi,7/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,,,,10630,930,,11.4,,
Burundi,7/31/2018,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",Adult ARV,,,,10928,1670,,6.5,,
Burundi,7/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",Adult ARV,,,,8361,1919,,4.4,,
Burundi,7/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",Adult ARV,,,,1382,13,,106.3,,
Burundi,7/31/2018,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,,,,713,426,,1.7,,
Burundi,7/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,73126,3801,,19.2,,
Burundi,7/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,208494,35938,,5.8,,
Burundi,7/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",RTK,,,,2536,1201,,2.1,,
Burundi,7/31/2018,"HIV-1/2 RTK, OraQuick ADVANCE Rapid Antibody Test, 100 Tests",RTK,,,,2000,500,,4,,
Burundi,7/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",RTK,,,,1569,215,,7.3,,
Burundi,7/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",Adult ARV,,,,12057,2754,,4.4,,
Burundi,7/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",Adult ARV,,,,78717,3104,,25.4,,
Burundi,7/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,,,,1786,456,,3.9,,
Burundi,7/31/2018,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,,,,3137,390,,8,,
Burundi,7/31/2018,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,,,,786,25,,31.4,,
Burundi,7/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,20135,2025,,9.9,,
Burundi,7/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",Adult ARV,,,,134741,9276,,14.5,,
Burundi,7/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,,,,10311,1388,,7.4,,
Burundi,7/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",Adult ARV,,,,1401,19,,73.7,,
Burundi,7/31/2018,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,,,,805,31,,26,,
Burundi,8/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,,,,9267,985,,9.4,,
Burundi,8/31/2018,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",Adult ARV,,,,9028,1632.666667,,5.5,,
Burundi,8/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",Adult ARV,,,,5716,2314.333333,,2.5,,
Burundi,8/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",Adult ARV,,,,1373,11.33333333,,121.1,,
Burundi,8/31/2018,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,,,,289,575.3333333,,0.5,,
