Country,Date,Product,Type,Funder,Order,projOrder,SOH,AMI,projAMI,MOS,projMOS,Note
Botswana,7/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,232639,27623,,8.4,,
Botswana,7/31/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,,,,335835,95237,,3.5,,
Botswana,7/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,355850,50629,,7,,
Botswana,9/30/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,350000,0,,,,
Botswana,9/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,208777,27623,,7.6,,
Botswana,9/30/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,,,,471850,95237,,5,,
Botswana,9/30/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,379899,50629,,7.5,,
Botswana,10/31/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,244325,73771.73333,,3.3,,
Botswana,10/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,182732,37604.66667,,4.9,,
Botswana,10/31/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,,,,406527,95237,,4.3,,
Botswana,10/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,435633,52879.3,,8.2,,
Botswana,11/30/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,197467,73771.73333,,2.7,,
Botswana,11/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,157544,37604.66667,,4.2,,
Botswana,11/30/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,,,,422398,95237,,4.4,,
Botswana,11/30/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,394748,52879.3,,7.5,,
Botswana,12/31/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,336358,73771.73333,,4.6,,
Botswana,12/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,123129,37604.66667,,3.3,,
Botswana,12/31/2018,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,,,,435505,95237,,4.6,,
Botswana,12/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,347323,52879.3,,6.6,,
Botswana,1/31/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,274397,73771.73333,,3.7,,
Botswana,1/31/2019,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,94351,37604.66667,,2.5,,
Botswana,1/31/2019,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,,,,388841,95237,,4.1,,
Botswana,1/31/2019,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,298538,52879.3,,5.6,,
Botswana,2/28/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,592042,48363,,12.2,,
Botswana,2/28/2019,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,72443,37604.66667,,1.9,,
Botswana,2/28/2019,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,,,,306932,95237,,3.2,,
Botswana,2/28/2019,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,255523,52879.3,,4.8,,
Botswana,3/31/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,558526,48363,,11.5,,
